row_index,split,prompt,a,b,answer,route_label,base_text,phase8_frozen_15201_text,phase8_frozen_15201_exact,phase8_frozen_15201_route,phase8_frozen_15201_operands_exact,phase8_frozen_15201_preserved,phase8_frozen_15202_text,phase8_frozen_15202_exact,phase8_frozen_15202_route,phase8_frozen_15202_operands_exact,phase8_frozen_15202_preserved,phase8_frozen_15203_text,phase8_frozen_15203_exact,phase8_frozen_15203_route,phase8_frozen_15203_operands_exact,phase8_frozen_15203_preserved,generic_15201_text,generic_15201_exact,generic_15201_route,generic_15201_operands_exact,generic_15201_preserved,generic_15202_text,generic_15202_exact,generic_15202_route,generic_15202_operands_exact,generic_15202_preserved,generic_15203_text,generic_15203_exact,generic_15203_route,generic_15203_operands_exact,generic_15203_preserved,hard_15201_text,hard_15201_exact,hard_15201_route,hard_15201_operands_exact,hard_15201_preserved,hard_15202_text,hard_15202_exact,hard_15202_route,hard_15202_operands_exact,hard_15202_preserved,hard_15203_text,hard_15203_exact,hard_15203_route,hard_15203_operands_exact,hard_15203_preserved
12,phase9_confirmatory_positive_direct,"Set an accumulator to 249, then increase it by 1. Print its contents.",249,1,250,True,Here's the Python code to set,250,True,True,True,False,250,True,True,True,False,250,True,True,True,False,250,True,True,True,False,250,True,True,True,False,250,True,True,True,False,295,False,True,False,False,295,False,True,False,False,Here's the Python code to set,False,True,False,True
13,phase9_confirmatory_positive_direct,"Set an accumulator to 2651, then increase it by 361. Print its contents.",2651,361,3012,True,Here's the Python code to set,3012,True,True,True,False,3012,True,True,True,False,3012,True,True,True,False,3012,True,True,True,False,3012,True,True,True,False,3012,True,True,True,False,Here's the Python code to set,False,True,False,True,Here's the Python code to set,False,True,False,True,Here's the Python code to set,False,True,False,True
14,phase9_confirmatory_positive_direct,"Set an accumulator to 5165, then increase it by 3. Print its contents.",5165,3,5168,True,Here's the Python code to set,5168,True,True,True,False,5168,True,True,True,False,5168,True,True,True,False,5168,True,True,True,False,5168,True,True,True,False,5168,True,True,True,False,578,False,True,False,False,578,False,True,False,False,578,False,True,False,False
15,phase9_confirmatory_positive_direct,Resolve the ADD opcode with arguments 6868 and 7. Bare result only.,6868,7,6875,True,The ADD opcode with arguments 6,6875,True,True,True,False,6875,True,True,True,False,6875,True,True,True,False,6875,True,True,True,False,6875,True,True,True,False,6875,True,True,True,False,6875,True,True,True,False,6875,True,True,True,False,6875,True,True,True,False
16,phase9_confirmatory_positive_direct,Resolve the ADD opcode with arguments 5379 and 0. Bare result only.,5379,0,5379,True,The ADD opcode with arguments 5,5379,True,True,True,False,5379,True,True,True,False,5379,True,True,True,False,5379,True,True,True,False,5379,True,True,True,False,5379,True,True,True,False,5379,True,True,True,False,5379,True,True,True,False,5379,True,True,True,False
17,phase9_confirmatory_positive_direct,Resolve the ADD opcode with arguments 8 and 4158. Bare result only.,8,4158,4166,True,The ADD opcode with arguments 8,4166,True,True,True,False,4166,True,True,True,False,4166,True,True,True,False,4166,True,True,True,False,4166,True,True,True,False,4166,True,True,True,False,4166,True,True,True,False,4166,True,True,True,False,4166,True,True,True,False
18,phase9_confirmatory_positive_direct,Resolve the ADD opcode with arguments 7 and 47. Bare result only.,7,47,54,True,The ADD opcode with arguments 7,54,True,True,True,False,54,True,True,True,False,54,True,True,True,False,54,True,True,True,False,54,True,True,True,False,54,True,True,True,False,54,True,True,True,False,54,True,True,True,False,54,True,True,True,False
19,phase9_confirmatory_positive_direct,Resolve the ADD opcode with arguments 264 and 1866. Bare result only.,264,1866,2130,True,The ADD opcode with arguments 2,2130,True,True,True,False,2130,True,True,True,False,2130,True,True,True,False,2130,True,True,True,False,2130,True,True,True,False,2130,True,True,True,False,2130,True,True,True,False,2130,True,True,True,False,2130,True,True,True,False
20,phase9_confirmatory_positive_direct,What base-ten scalar represents the additive composition of 5768 and 997?,5768,997,6765,True,The base-ten scalar for the add,6765,True,True,True,False,6765,True,True,True,False,6765,True,True,True,False,The base-ten scalar for the add,False,False,True,True,6765,True,True,True,False,The base-ten scalar for the add,False,False,True,True,The base-ten scalar for the add,False,False,True,True,The base-ten scalar for the add,False,False,True,True,The base-ten scalar for the add,False,False,True,True
21,phase9_confirmatory_positive_direct,What base-ten scalar represents the additive composition of 1785 and 3?,1785,3,1788,True,The base-ten scalar for the add,1788,True,True,True,False,1788,True,True,True,False,1788,True,True,True,False,1788,True,True,True,False,1788,True,True,True,False,1788,True,True,True,False,1788,True,True,True,False,1788,True,True,True,False,1788,True,True,True,False
22,phase9_confirmatory_positive_direct,What base-ten scalar represents the additive composition of 959 and 6090?,959,6090,7049,True,The base-ten scalar for the add,7049,True,True,True,False,7049,True,True,True,False,7049,True,True,True,False,7049,True,True,True,False,7049,True,True,True,False,7049,True,True,True,False,The base-ten scalar for the add,False,False,True,True,The base-ten scalar for the add,False,False,True,True,The base-ten scalar for the add,False,False,True,True
23,phase9_confirmatory_positive_direct,What base-ten scalar represents the additive composition of 158 and 7967?,158,7967,8125,True,The base-ten scalar for the add,8125,True,True,True,False,8125,True,True,True,False,8125,True,True,True,False,8125,True,True,True,False,8125,True,True,True,False,The base-ten scalar for the add,False,False,True,True,The base-ten scalar for the add,False,False,True,True,The base-ten scalar for the add,False,False,True,True,The base-ten scalar for the add,False,False,True,True
24,phase9_confirmatory_positive_direct,What base-ten scalar represents the additive composition of 9726 and 4366?,9726,4366,14092,True,The base-ten scalar of 9,14092,True,True,True,False,14092,True,True,True,False,14092,True,True,True,False,The base-ten scalar of 9,False,False,True,True,14092,True,True,True,False,The base-ten scalar of 9,False,False,True,True,The base-ten scalar of 9,False,False,True,True,The base-ten scalar of 9,False,False,True,True,The base-ten scalar of 9,False,False,True,True
25,phase9_confirmatory_positive_direct,Place 88 more units on top of an existing 612. State the resulting count.,88,612,700,True,To place 88 more units on,700,True,True,True,False,700,True,True,True,False,700,True,True,True,False,700,True,True,True,False,700,True,True,True,False,700,True,True,True,False,700,True,True,True,False,700,True,True,True,False,700,True,True,True,False
26,phase9_confirmatory_positive_direct,Place 9663 more units on top of an existing 5922. State the resulting count.,9663,5922,15585,True,To place 9663 more,15585,True,True,True,False,15585,True,True,True,False,15585,True,True,True,False,15585,True,True,True,False,15585,True,True,True,False,15585,True,True,True,False,15585,True,True,True,False,15585,True,True,True,False,15585,True,True,True,False
27,phase9_confirmatory_positive_direct,Place 3223 more units on top of an existing 4. State the resulting count.,3223,4,3227,True,To place 3223 more,3227,True,True,True,False,3227,True,True,True,False,3227,True,True,True,False,3227,True,True,True,False,3227,True,True,True,False,3227,True,True,True,False,3227,True,True,True,False,3227,True,True,True,False,3227,True,True,True,False
28,phase9_confirmatory_positive_direct,Place 760 more units on top of an existing 5944. State the resulting count.,760,5944,6704,True,To place 760 more units,6704,True,True,True,False,6704,True,True,True,False,6704,True,True,True,False,6704,True,True,True,False,6704,True,True,True,False,6704,True,True,True,False,6704,True,True,True,False,6704,True,True,True,False,6704,True,True,True,False
29,phase9_confirmatory_positive_direct,Place 2 more units on top of an existing 793. State the resulting count.,2,793,795,True,To place 2 more units on top,795,True,True,True,False,795,True,True,True,False,795,True,True,True,False,795,True,True,True,False,795,True,True,True,False,795,True,True,True,False,795,True,True,True,False,795,True,True,True,False,795,True,True,True,False
30,phase9_confirmatory_positive_direct,Reduce the additive pair 3448; 4266 to its single exact value.,3448,4266,7714,True,The additive pair 344,The additive pair 344,False,False,True,True,The additive pair 344,False,False,True,True,The additive pair 344,False,False,True,True,The additive pair 344,False,False,True,True,The additive pair 344,False,False,True,True,The additive pair 344,False,False,True,True,The additive pair 344,False,False,True,True,The additive pair 344,False,False,True,True,The additive pair 344,False,False,True,True
31,phase9_confirmatory_positive_direct,Reduce the additive pair 8; 39 to its single exact value.,8,39,47,True,The single exact value of the additive,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True
32,phase9_confirmatory_positive_direct,Reduce the additive pair 1888; 6 to its single exact value.,1888,6,1894,True,The single exact value of the additive,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True
33,phase9_confirmatory_positive_direct,Reduce the additive pair 7690; 2 to its single exact value.,7690,2,7692,True,The single exact value of the additive,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True
34,phase9_confirmatory_positive_direct,Reduce the additive pair 480; 58 to its single exact value.,480,58,538,True,The single exact value of the additive,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True,The single exact value of the additive,False,False,True,True
35,phase9_confirmatory_positive_direct,"Increment the state 659 by the delta 8065. Output the new state, digits only.",659,8065,8724,True,Incrementing the state 65,8724,True,True,True,False,8724,True,True,True,False,8724,True,True,True,False,8724,True,True,True,False,8724,True,True,True,False,8724,True,True,True,False,8124,False,True,False,False,8724,True,True,True,False,8124,False,True,False,False
36,phase9_confirmatory_positive_direct,"Increment the state 1 by the delta 9251. Output the new state, digits only.",1,9251,9252,True,Here's the updated code that incre,9252,True,True,True,False,9252,True,True,True,False,9252,True,True,True,False,9252,True,True,True,False,9252,True,True,True,False,9252,True,True,True,False,9252,True,True,True,False,9252,True,True,True,False,9252,True,True,True,False
37,phase9_confirmatory_positive_direct,"Increment the state 8388 by the delta 8877. Output the new state, digits only.",8388,8877,17265,True,Incrementing the state 83,17265,True,True,True,False,17265,True,True,True,False,17265,True,True,True,False,17265,True,True,True,False,17265,True,True,True,False,17265,True,True,True,False,17265,True,True,True,False,17265,True,True,True,False,17265,True,True,True,False
38,phase9_confirmatory_positive_direct,"Increment the state 7130 by the delta 571. Output the new state, digits only.",7130,571,7701,True,Here's a Python program that implements,7701,True,True,True,False,7701,True,True,True,False,7701,True,True,True,False,7701,True,True,True,False,7701,True,True,True,False,7701,True,True,True,False,701,False,True,False,False,701,False,True,False,False,701,False,True,False,False
39,phase9_confirmatory_positive_direct,"Increment the state 8970 by the delta 6. Output the new state, digits only.",8970,6,8976,True,Here's a Python program that implements,8976,True,True,True,False,8976,True,True,True,False,8976,True,True,True,False,8976,True,True,True,False,8976,True,True,True,False,8976,True,True,True,False,8976,True,True,True,False,8976,True,True,True,False,8976,True,True,True,False
40,phase9_confirmatory_positive_direct,Supply the decimal integer formed by summing operands 4 and 2716.,4,2716,2720,True,The decimal integer formed by summing oper,2720,True,True,True,False,2720,True,True,True,False,2720,True,True,True,False,2720,True,True,True,False,2720,True,True,True,False,2720,True,True,True,False,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True
41,phase9_confirmatory_positive_direct,Supply the decimal integer formed by summing operands 49 and 38.,49,38,87,True,The decimal integer formed by summing oper,87,True,True,True,False,87,True,True,True,False,87,True,True,True,False,87,True,True,True,False,87,True,True,True,False,87,True,True,True,False,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True
42,phase9_confirmatory_positive_direct,Supply the decimal integer formed by summing operands 15 and 675.,15,675,690,True,The decimal integer formed by summing oper,690,True,True,True,False,690,True,True,True,False,690,True,True,True,False,690,True,True,True,False,690,True,True,True,False,690,True,True,True,False,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True
43,phase9_confirmatory_positive_direct,Supply the decimal integer formed by summing operands 67 and 244.,67,244,311,True,The decimal integer formed by summing oper,311,True,True,True,False,311,True,True,True,False,311,True,True,True,False,311,True,True,True,False,311,True,True,True,False,311,True,True,True,False,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True
44,phase9_confirmatory_positive_direct,Supply the decimal integer formed by summing operands 14 and 126.,14,126,140,True,The decimal integer formed by summing oper,140,True,True,True,False,140,True,True,True,False,140,True,True,True,False,140,True,True,True,False,140,True,True,True,False,140,True,True,True,False,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True,The decimal integer formed by summing oper,False,False,True,True
45,phase9_confirmatory_positive_direct,Use addition to consolidate 21 with 19; no explanation is permitted.,21,19,40,True,To consolidate 21 with,40,True,True,True,False,40,True,True,True,False,40,True,True,True,False,40,True,True,True,False,40,True,True,True,False,40,True,True,True,False,40,True,True,True,False,40,True,True,True,False,40,True,True,True,False
46,phase9_confirmatory_positive_direct,Use addition to consolidate 9 with 5019; no explanation is permitted.,9,5019,5028,True,To consolidate 9 with,5028,True,True,True,False,5028,True,True,True,False,5028,True,True,True,False,5028,True,True,True,False,5028,True,True,True,False,5028,True,True,True,False,5028,True,True,True,False,5028,True,True,True,False,5028,True,True,True,False
47,phase9_confirmatory_positive_direct,Use addition to consolidate 49 with 5604; no explanation is permitted.,49,5604,5653,True,To consolidate 49 with,5653,True,True,True,False,5653,True,True,True,False,5653,True,True,True,False,5653,True,True,True,False,5653,True,True,True,False,5653,True,True,True,False,5653,True,True,True,False,5653,True,True,True,False,5653,True,True,True,False
48,phase9_confirmatory_positive_direct,Use addition to consolidate 3268 with 42; no explanation is permitted.,3268,42,3310,True,To consolidate 326,3310,True,True,True,False,3310,True,True,True,False,3310,True,True,True,False,3310,True,True,True,False,3310,True,True,True,False,3310,True,True,True,False,3310,True,True,True,False,3310,True,True,True,False,3310,True,True,True,False
49,phase9_confirmatory_positive_direct,Use addition to consolidate 229 with 627; no explanation is permitted.,229,627,856,True,To consolidate 229,856,True,True,True,False,856,True,True,True,False,856,True,True,True,False,856,True,True,True,False,856,True,True,True,False,856,True,True,True,False,856,True,True,True,False,856,True,True,True,False,856,True,True,True,False
50,phase9_confirmatory_positive_word,A sonar station logged 62 echoes on its outbound scan and 289 on its return. Give the whole echo count.,62,289,351,True,The sonar station logged 62,351,True,True,True,False,351,True,True,True,False,351,True,True,True,False,351,True,True,True,False,351,True,True,True,False,351,True,True,True,False,351,True,True,True,False,351,True,True,True,False,351,True,True,True,False
51,phase9_confirmatory_positive_word,A sonar station logged 9824 echoes on its outbound scan and 264 on its return. Give the whole echo count.,9824,264,10088,True,The sonar station logged 98,10088,True,True,True,False,10088,True,True,True,False,10088,True,True,True,False,10088,True,True,True,False,10088,True,True,True,False,10088,True,True,True,False,10088,True,True,True,False,10088,True,True,True,False,10088,True,True,True,False
52,phase9_confirmatory_positive_word,A sonar station logged 1083 echoes on its outbound scan and 5 on its return. Give the whole echo count.,1083,5,1088,True,The sonar station logged 10,1088,True,True,True,False,1088,True,True,True,False,1088,True,True,True,False,1088,True,True,True,False,1088,True,True,True,False,1088,True,True,True,False,1088,True,True,True,False,1088,True,True,True,False,1088,True,True,True,False
53,phase9_confirmatory_positive_word,A sonar station logged 76 echoes on its outbound scan and 10 on its return. Give the whole echo count.,76,10,86,True,The sonar station logged 76,86,True,True,True,False,86,True,True,True,False,86,True,True,True,False,86,True,True,True,False,86,True,True,True,False,86,True,True,True,False,86,True,True,True,False,86,True,True,True,False,86,True,True,True,False
54,phase9_confirmatory_positive_word,A sonar station logged 29 echoes on its outbound scan and 52 on its return. Give the whole echo count.,29,52,81,True,The sonar station logged 29,81,True,True,True,False,81,True,True,True,False,81,True,True,True,False,81,True,True,True,False,81,True,True,True,False,81,True,True,True,False,81,True,True,True,False,81,True,True,True,False,81,True,True,True,False
55,phase9_confirmatory_positive_word,A conservator digitized 2408 pages from one volume and 81 from another. How many pages were digitized?,2408,81,2489,True,Both volumes had 240,2489,True,True,True,False,2489,True,True,True,False,2489,True,True,True,False,Both volumes had 240,False,False,True,True,2489,True,True,True,False,Both volumes had 240,False,False,True,True,Both volumes had 240,False,False,True,True,Both volumes had 240,False,False,True,True,Both volumes had 240,False,False,True,True
56,phase9_confirmatory_positive_word,A conservator digitized 2060 pages from one volume and 442 from another. How many pages were digitized?,2060,442,2502,True,Both volumes had 206,2502,True,True,True,False,2502,True,True,True,False,2502,True,True,True,False,Both volumes had 206,False,False,True,True,Both volumes had 206,False,False,True,True,Both volumes had 206,False,False,True,True,Both volumes had 206,False,False,True,True,Both volumes had 206,False,False,True,True,Both volumes had 206,False,False,True,True
57,phase9_confirmatory_positive_word,A conservator digitized 50 pages from one volume and 5427 from another. How many pages were digitized?,50,5427,5477,True,Both volumes had 50 pages,5477,True,True,True,False,5477,True,True,True,False,5477,True,True,True,False,Both volumes had 50 pages,False,False,True,True,5477,True,True,True,False,Both volumes had 50 pages,False,False,True,True,Both volumes had 50 pages,False,False,True,True,Both volumes had 50 pages,False,False,True,True,Both volumes had 50 pages,False,False,True,True
58,phase9_confirmatory_positive_word,A conservator digitized 3066 pages from one volume and 1 from another. How many pages were digitized?,3066,1,3067,True,The conservator digitized 30,3067,True,True,True,False,3067,True,True,True,False,3067,True,True,True,False,The conservator digitized 30,False,False,True,True,The conservator digitized 30,False,False,True,True,The conservator digitized 30,False,False,True,True,The conservator digitized 30,False,False,True,True,The conservator digitized 30,False,False,True,True,The conservator digitized 30,False,False,True,True
59,phase9_confirmatory_positive_word,A conservator digitized 269 pages from one volume and 779 from another. How many pages were digitized?,269,779,1048,True,Both volumes had 269,1048,True,True,True,False,1048,True,True,True,False,1048,True,True,True,False,1048,True,True,True,False,1048,True,True,True,False,1048,True,True,True,False,Both volumes had 269,False,False,True,True,Both volumes had 269,False,False,True,True,Both volumes had 269,False,False,True,True
60,phase9_confirmatory_positive_word,A weather balloon sent 523 packets below the clouds and 4 above them. Return the aggregate packet count.,523,4,527,True,To calculate the aggregate packet count for the,527,True,True,True,False,527,True,True,True,False,527,True,True,True,False,527,True,True,True,False,527,True,True,True,False,527,True,True,True,False,527,True,True,True,False,527,True,True,True,False,527,True,True,True,False
61,phase9_confirmatory_positive_word,A weather balloon sent 32 packets below the clouds and 4 above them. Return the aggregate packet count.,32,4,36,True,To calculate the aggregate packet count for the,36,True,True,True,False,36,True,True,True,False,36,True,True,True,False,36,True,True,True,False,36,True,True,True,False,36,True,True,True,False,36,True,True,True,False,36,True,True,True,False,36,True,True,True,False
62,phase9_confirmatory_positive_word,A weather balloon sent 8 packets below the clouds and 8480 above them. Return the aggregate packet count.,8,8480,8488,True,To calculate the aggregate packet count for the,8488,True,True,True,False,8488,True,True,True,False,8488,True,True,True,False,8488,True,True,True,False,8488,True,True,True,False,8488,True,True,True,False,8488,True,True,True,False,8488,True,True,True,False,8488,True,True,True,False
63,phase9_confirmatory_positive_word,A weather balloon sent 81 packets below the clouds and 44 above them. Return the aggregate packet count.,81,44,125,True,To calculate the aggregate packet count for the,125,True,True,True,False,125,True,True,True,False,125,True,True,True,False,125,True,True,True,False,125,True,True,True,False,125,True,True,True,False,125,True,True,True,False,125,True,True,True,False,125,True,True,True,False
64,phase9_confirmatory_positive_word,A weather balloon sent 9320 packets below the clouds and 986 above them. Return the aggregate packet count.,9320,986,10306,True,To calculate the aggregate packet count for the,1916,False,True,False,False,10306,True,True,True,False,10306,True,True,True,False,10306,True,True,True,False,10306,True,True,True,False,10306,True,True,True,False,10306,True,True,True,False,10306,True,True,True,False,10306,True,True,True,False
65,phase9_confirmatory_positive_word,A cleanroom produced 87 wafers in one period and 2 in the next. State the two-period production.,87,2,89,True,"Yes, the cleanroom produced 8",89,True,True,True,False,89,True,True,True,False,89,True,True,True,False,89,True,True,True,False,89,True,True,True,False,89,True,True,True,False,89,True,True,True,False,89,True,True,True,False,89,True,True,True,False
66,phase9_confirmatory_positive_word,A cleanroom produced 2 wafers in one period and 366 in the next. State the two-period production.,2,366,368,True,The two-period production of a clean,368,True,True,True,False,368,True,True,True,False,368,True,True,True,False,368,True,True,True,False,368,True,True,True,False,368,True,True,True,False,368,True,True,True,False,368,True,True,True,False,368,True,True,True,False
67,phase9_confirmatory_positive_word,A cleanroom produced 8 wafers in one period and 622 in the next. State the two-period production.,8,622,630,True,The two-period production of a clean,630,True,True,True,False,630,True,True,True,False,630,True,True,True,False,630,True,True,True,False,630,True,True,True,False,630,True,True,True,False,630,True,True,True,False,630,True,True,True,False,630,True,True,True,False
68,phase9_confirmatory_positive_word,A cleanroom produced 32 wafers in one period and 4920 in the next. State the two-period production.,32,4920,4952,True,The two-period production of a clean,4952,True,True,True,False,4952,True,True,True,False,4952,True,True,True,False,4952,True,True,True,False,4952,True,True,True,False,4952,True,True,True,False,4952,True,True,True,False,4952,True,True,True,False,4952,True,True,True,False
69,phase9_confirmatory_positive_word,A cleanroom produced 946 wafers in one period and 1486 in the next. State the two-period production.,946,1486,2432,True,The two-period production of a clean,2432,True,True,True,False,2432,True,True,True,False,2432,True,True,True,False,2432,True,True,True,False,2432,True,True,True,False,2432,True,True,True,False,2432,True,True,True,False,2432,True,True,True,False,2432,True,True,True,False
70,phase9_confirmatory_positive_word,A field survey mapped 374 plots in the east and 2 in the west. Give the overall plot count.,374,2,376,True,The field survey mapped 374,376,True,True,True,False,376,True,True,True,False,376,True,True,True,False,376,True,True,True,False,376,True,True,True,False,376,True,True,True,False,376,True,True,True,False,376,True,True,True,False,376,True,True,True,False
71,phase9_confirmatory_positive_word,A field survey mapped 8964 plots in the east and 2547 in the west. Give the overall plot count.,8964,2547,11511,True,The overall plot count for the field survey,11511,True,True,True,False,11511,True,True,True,False,11511,True,True,True,False,11511,True,True,True,False,11511,True,True,True,False,11511,True,True,True,False,11511,True,True,True,False,11511,True,True,True,False,11511,True,True,True,False
